dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0.000098,0.732,0.000198,0.01979,0.989518,49.475883,0
0.02,0.00089,0.732,0.00099,0.039581,0.989518,0,0
0.02,0.002671,0.732,0.002771,0.089057,2.473794,74.213825,0
0.02,0.005639,0.732,0.005739,0.148428,2.968553,24.737942,0
0.02,0.009795,0.732,0.009895,0.207799,2.968553,0,0
0.02,0.015139,0.732,0.015239,0.26717,2.968553,0,0
0.02,0.021669,0.732,0.021769,0.326541,2.968553,0,0
0.02,0.029388,0.732,0.029488,0.385912,2.968553,0,0
0.02,0.038293,0.732,0.038393,0.445283,2.968553,0,0
0.02,0.048386,0.732,0.048486,0.504654,2.968553,0,0
0.02,0.059667,0.732,0.059767,0.564025,2.968553,0,0
0.02,0.072135,0.732,0.072235,0.623396,2.968553,0,0
0.02,0.08579,0.732,0.08589,0.682767,2.968553,0,0
0.02,0.100633,0.732,0.100733,0.742138,2.968553,0,0
0.02,0.116663,0.732,0.116763,0.801509,2.968553,0,0
0.02,0.133881,0.732,0.133981,0.86088,2.968553,0,0
0.02,0.152286,0.732,0.152386,0.920251,2.968553,0,0
0.02,0.171878,0.732,0.171978,0.979622,2.968553,0,0
0.02,0.192658,0.732,0.192758,1.038994,2.968553,0,0
0.02,0.214625,0.732,0.214725,1.098365,2.968553,0,0
0.02,0.23778,0.732,0.23788,1.157736,2.968553,0,0
0.02,0.262122,0.732,0.262222,1.217107,2.968553,0,0
0.02,0.287652,0.732,0.287752,1.276478,2.968553,0,0
0.02,0.314369,0.732,0.314469,1.335849,2.968553,0,0
0.02,0.342273,0.732,0.342373,1.39522,2.968553,0,0
0.02,0.371365,0.732,0.371465,1.454591,2.968553,0,0
0.02,0.401644,0.732,0.401744,1.513962,2.968553,0,0
0.02,0.433111,0.732,0.433211,1.573333,2.968553,0,0
0.02,0.465765,0.732,0.465865,1.632704,2.968553,0,0
0.02,0.499606,0.732,0.499706,1.692075,2.968553,0,0
0.02,0.534635,0.732,0.534735,1.751446,2.968553,0,0
0.02,0.570852,0.732,0.570952,1.810817,2.968553,0,0
0.02,0.608255,0.732,0.608355,1.870188,2.968553,0,0
0.02,0.646847,0.732,0.646947,1.929559,2.968553,0,0
0.02,0.686625,0.732,0.686725,1.98893,2.968553,0,0
0.02,0.727591,0.732,0.727691,2.048302,2.968553,0,0
0.02,0.769745,0.732,0.769845,2.107673,2.968553,0,0
0.02,0.813086,0.732,0.813186,2.167044,2.968553,0,0
0.02,0.857614,0.732,0.857714,2.226415,2.968553,0,0
0.02,0.90333,0.732,0.90343,2.285786,2.968553,0,0
0.02,0.950233,0.732,0.950333,2.345157,2.968553,0,0
0.02,0.998323,0.732,0.998423,2.404528,2.968553,0,0
0.02,1.047601,0.732,1.047701,2.463899,2.968553,0,0
0.02,1.098067,0.732,1.098167,2.52327,2.968553,0,0
